"Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season"
"Kareem Abdul-Jabbar*","C",31,"LAL",80,0,39.5,9.7,16.8,0.577,0,0,0,9.7,16.8,0.577,0.577,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1,4,3.5,2.9,23.8,"1978-1979"
"Tom Abernethy","PF",24,"GSW",70,0,17.4,2.5,4.9,0.515,0,0,0,2.5,4.9,0.515,0.515,1,1.3,0.745,1.1,2,3.1,1.1,0.6,0.2,0.5,1.9,6,"1978-1979"
"Alvan Adams","C",24,"PHO",77,0,30.7,7.4,13.9,0.53,0,0,0,7.4,13.9,0.53,0.53,3,3.8,0.799,2.9,6.3,9.2,4.7,1.4,0.8,3.6,3.2,17.8,"1978-1979"
"Lucius Allen","PG",31,"KCK",31,0,13.3,2.2,5.6,0.397,0,0,0,2.2,5.6,0.397,0.397,0.6,1.1,0.576,0.5,1,1.5,1.4,0.7,0.2,1,1.7,5.1,"1978-1979"
"Kim Anderson","SF",23,"POR",21,0,10.7,1.1,3.7,0.312,0,0,0,1.1,3.7,0.312,0.312,0.7,1.3,0.536,0.8,1.3,2.1,0.7,0.2,0.2,1,2,3,"1978-1979"
"Tiny Archibald*","PG",30,"BOS",69,0,24.1,3.8,8.3,0.452,0,0,0,3.8,8.3,0.452,0.452,3.5,4.4,0.788,0.4,1.1,1.5,4.7,0.8,0.1,2.9,1.9,11,"1978-1979"
"Tate Armstrong","SG",23,"CHI",26,0,10,1.1,2.7,0.4,0,0,0,1.1,2.7,0.4,0.4,0.4,0.5,0.769,0.3,0.5,0.8,1.2,0.4,0,0.8,0.8,2.5,"1978-1979"
"Dennis Awtrey","C",30,"TOT",63,0,11.8,0.7,1.7,0.411,0,0,0,0.7,1.7,0.411,0.411,0.7,0.9,0.732,0.7,1.7,2.4,1.1,0.3,0.2,0.8,1.7,2,"1978-1979"
"Dennis Awtrey","C",30,"BOS",23,0,10.7,0.7,1.9,0.386,0,0,0,0.7,1.9,0.386,0.386,0.7,0.9,0.8,0.6,1.5,2,0.9,0.1,0.3,0.9,1.6,2.2,"1978-1979"
"Dennis Awtrey","C",30,"SEA",40,0,12.5,0.7,1.6,0.429,0,0,0,0.7,1.6,0.429,0.429,0.6,0.9,0.694,0.7,1.9,2.6,1.2,0.3,0.2,0.8,1.7,2,"1978-1979"
"Gus Bailey","SG",27,"NOJ",2,0,4.5,1,3.5,0.286,0,0,0,1,3.5,0.286,0.286,0,0,0,1,0,1,1,0,0,0.5,0.5,2,"1978-1979"
"Greg Ballard","SF",24,"WSB",82,0,18.9,3.2,6.8,0.465,0,0,0,3.2,6.8,0.465,0.465,1.5,2.1,0.692,1.7,3.7,5.5,1.4,0.7,0.4,1.2,2,7.8,"1978-1979"
"Mike Bantom","PF",27,"IND",81,0,31.2,6,12.8,0.465,0,0,0,6,12.8,0.465,0.465,2.8,4.2,0.672,2.8,5.2,8,2.8,1.2,0.8,2.4,3.9,14.7,"1978-1979"
"Tom Barker","C",23,"TOT",39,0,12.2,1.7,4,0.436,0,0,0,1.7,4,0.436,0.436,0.7,0.9,0.73,1.2,1.9,3.1,0.4,0.3,0.3,0.9,1.9,4.2,"1978-1979"
"Tom Barker","C",23,"HOU",5,0,3.2,0.6,1.2,0.5,0,0,0,0.6,1.2,0.5,0.5,0.4,0.4,1,0.4,0.8,1.2,0,0,0,0.2,1,1.6,"1978-1979"
"Tom Barker","C",23,"BOS",12,0,10.9,1.8,4,0.438,0,0,0,1.8,4,0.438,0.438,0.9,1.3,0.733,1,1.5,2.5,0.5,0.3,0.3,1.1,2.2,4.4,"1978-1979"
"Tom Barker","C",23,"NYK",22,0,15,2,4.6,0.431,0,0,0,2,4.6,0.431,0.431,0.6,0.9,0.7,1.4,2.4,3.8,0.4,0.3,0.3,0.9,2,4.6,"1978-1979"
"Marvin Barnes","PF",26,"BOS",38,0,20.9,3.5,7.1,0.491,0,0,0,3.5,7.1,0.491,0.491,1.1,1.7,0.652,1.5,3.2,4.7,1.4,1,1,1.8,3.8,8.1,"1978-1979"
"Rick Barry*","SF",34,"HOU",80,0,32.1,5.8,12.5,0.461,0,0,0,5.8,12.5,0.461,0.461,2,2.1,0.947,0.5,3,3.5,6.3,1.2,0.5,2.5,2.4,13.5,"1978-1979"
"Tim Bassett","PF",27,"NJN",82,0,18.4,1.4,3.8,0.371,0,0,0,1.4,3.8,0.371,0.371,1.1,1.6,0.679,2.1,3,5.1,1.2,0.5,0.4,1.3,2.7,3.9,"1978-1979"
"Butch Beard","PG",31,"NYK",7,0,12.1,1.6,3.7,0.423,0,0,0,1.6,3.7,0.423,0.423,0,0,0,0.1,1.3,1.4,2.7,1,0,1.4,1.9,3.1,"1978-1979"
"Ron Behagen","PF",28,"TOT",15,0,11,1.9,4.1,0.452,0,0,0,1.9,4.1,0.452,0.452,0.7,0.9,0.769,0.9,1.9,2.8,0.5,0.3,0.1,0.7,2.4,4.4,"1978-1979"
"Ron Behagen","PF",28,"DET",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"1978-1979"
"Ron Behagen","PF",28,"NYK",5,0,7.6,1,2.4,0.417,0,0,0,1,2.4,0.417,0.417,0.4,0.4,1,0.4,1.8,2.2,0.4,0.4,0,0.8,1.6,2.4,"1978-1979"
"Ron Behagen","PF",28,"KCK",9,0,14,2.6,5.6,0.46,0,0,0,2.6,5.6,0.46,0.46,0.9,1.2,0.727,1.2,2.2,3.4,0.6,0.2,0.1,0.7,3,6,"1978-1979"
"Kent Benson","C",24,"MIL",82,0,26,5,9.7,0.518,0,0,0,5,9.7,0.518,0.518,2.2,3,0.735,2.3,4.8,7.1,2.5,1.1,1,1.9,3.4,12.3,"1978-1979"
"Del Beshore","PG",22,"MIL",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1978-1979"
"Henry Bibby","PG",29,"PHI",82,0,31,4.5,10.6,0.423,0,0,0,4.5,10.6,0.423,0.423,3.2,4.1,0.794,0.9,2.1,3,4.5,0.9,0.1,2.4,2.4,12.2,"1978-1979"
"Bob Bigelow","SF",25,"SDC",29,0,14.2,1.2,3.1,0.4,0,0,0,1.2,3.1,0.4,0.4,0.4,0.7,0.619,0.5,1.1,1.6,0.9,0.4,0.1,0.6,1.3,2.9,"1978-1979"
"Otis Birdsong","SG",23,"KCK",82,0,34.6,9,17.8,0.509,0,0,0,9,17.8,0.509,0.509,3.6,5,0.725,2.1,2.2,4.3,3.4,1.5,0.2,2.4,3.1,21.7,"1978-1979"
"Ron Boone","SG",32,"LAL",82,0,19.3,3.2,6.9,0.455,0,0,0,3.2,6.9,0.455,0.455,1.1,1.3,0.865,0.6,1.1,1.8,1.9,0.8,0.1,1.8,2.1,7.4,"1978-1979"
"Tom Boswell","PF",25,"DEN",79,0,27.9,4.1,7.6,0.532,0,0,0,4.1,7.6,0.532,0.532,2.5,3.6,0.697,3.1,3.7,6.8,3.1,0.6,0.6,2.3,3.3,10.6,"1978-1979"
"Dennis Boyd","PG",24,"DET",5,0,8,0.6,2.4,0.25,0,0,0,0.6,2.4,0.25,0.25,0,0,0,0,0.4,0.4,1.4,0,0,1.2,1,1.2,"1978-1979"
"Winford Boynes","SG",21,"NJN",69,0,17,3.7,8.6,0.43,0,0,0,3.7,8.6,0.43,0.43,1.9,2.4,0.787,0.9,1.4,2.2,1.1,0.6,0.1,1.7,1.7,9.3,"1978-1979"
"Alonzo Bradley","SF",25,"HOU",34,0,7.2,1.1,2.6,0.42,0,0,0,1.1,2.6,0.42,0.42,0.6,1,0.667,0.4,1,1.4,0.5,0.1,0,0.5,1,2.8,"1978-1979"
"Mike Bratz","PG",23,"PHO",77,0,16.8,3.1,6.9,0.454,0,0,0,3.1,6.9,0.454,0.454,1.8,2.2,0.818,0.7,1.1,1.8,2.3,0.8,0.1,1.8,2,8.1,"1978-1979"
"Jim Brewer","PF",27,"TOT",80,0,20.1,1.8,4,0.442,0,0,0,1.8,4,0.442,0.442,0.3,0.8,0.413,2,4,5.9,1.1,0.8,0.8,1.2,2.2,3.9,"1978-1979"
"Jim Brewer","PF",27,"CLE",55,0,23.7,2.1,4.7,0.44,0,0,0,2.1,4.7,0.44,0.44,0.4,0.9,0.479,2.3,4.5,6.7,1.3,0.9,1,1.4,2.5,4.6,"1978-1979"
"Jim Brewer","PF",27,"DET",25,0,12.4,1.1,2.4,0.45,0,0,0,1.1,2.4,0.45,0.45,0.1,0.6,0.2,1.4,2.8,4.2,0.5,0.5,0.4,0.8,1.5,2.3,"1978-1979"
"Ron Brewer","SG",23,"POR",81,0,30.3,5.4,10.8,0.494,0,0,0,5.4,10.8,0.494,0.494,2.6,3.2,0.82,1.1,1.7,2.8,2,1.3,1,1.9,2.2,13.3,"1978-1979"
"Junior Bridgeman","SG",25,"MIL",82,0,23.9,6.6,13,0.506,0,0,0,6.6,13,0.506,0.506,2.3,2.8,0.829,1.4,2.2,3.6,2,1.1,0.5,1.7,2.2,15.5,"1978-1979"
"Allan Bristow","SF",27,"SAS",74,0,17.9,2.4,4.8,0.492,0,0,0,2.4,4.8,0.492,0.492,1.7,2,0.832,1.1,2.3,3.3,3.1,0.8,0.2,1.5,2.1,6.4,"1978-1979"
"Fred Brown","PG",30,"SEA",77,0,25.5,5.8,12.4,0.469,0,0,0,5.8,12.4,0.469,0.469,2.4,2.7,0.888,0.5,1.7,2.2,3.4,1.5,0.3,2.1,1.8,14,"1978-1979"
"John Brown","SF",27,"CHI",77,0,16.4,2,4.1,0.479,0,0,0,2,4.1,0.479,0.479,1.1,1.3,0.857,1.1,2,3.1,1.4,0.2,0.1,1.2,2.3,5,"1978-1979"
"Joe Bryant","PF",24,"PHI",70,0,15.2,2.9,6.8,0.429,0,0,0,2.9,6.8,0.429,0.429,1.8,2.4,0.724,1.4,2.3,3.7,1.5,0.7,0.1,1.6,2.4,7.6,"1978-1979"
"Quinn Buckner","PG",24,"MIL",81,0,21.7,3.1,6.8,0.454,0,0,0,3.1,6.8,0.454,0.454,1,1.5,0.632,0.7,1.9,2.6,5.8,1.9,0.2,2.6,2.8,7.2,"1978-1979"
"Greg Bunch","SF",22,"NYK",12,0,8.1,0.8,2.2,0.346,0,0,0,0.8,2.2,0.346,0.346,0.8,1,0.833,0.8,0.7,1.4,0.3,0.3,0.3,0.4,0.8,2.3,"1978-1979"
"Tom Burleson","C",26,"KCK",56,0,16.6,2.8,6.1,0.459,0,0,0,2.8,6.1,0.459,0.459,2.2,3,0.716,1.5,3.5,5,0.9,0.5,1,1.1,3.3,7.8,"1978-1979"
"Don Buse","PG",28,"PHO",82,0,31,3.5,7,0.495,0,0,0,3.5,7,0.495,0.495,0.9,1.1,0.769,0.5,2.1,2.6,4.3,1.9,0.2,1.2,1.8,7.8,"1978-1979"
"Marty Byrnes","SF",22,"TOT",79,0,16,2.4,4.9,0.481,0,0,0,2.4,4.9,0.481,0.481,1.3,1.9,0.688,1.1,1.3,2.4,1.3,0.3,0.1,1.5,1.4,6.1,"1978-1979"
"Marty Byrnes","SF",22,"PHO",43,0,17.1,2.5,5.2,0.489,0,0,0,2.5,5.2,0.489,0.489,1.7,2.3,0.73,1.1,1.1,2.3,1.4,0.3,0,1.8,1.6,6.8,"1978-1979"
"Marty Byrnes","SF",22,"NOJ",36,0,14.7,2.2,4.6,0.47,0,0,0,2.2,4.6,0.47,0.47,0.9,1.5,0.611,1.1,1.5,2.6,1.2,0.3,0.2,1.1,1.2,5.3,"1978-1979"
"Corky Calhoun","SF",28,"IND",81,0,16.4,1.9,4.1,0.457,0,0,0,1.9,4.1,0.457,0.457,0.9,1.1,0.837,0.8,2.1,2.9,1.3,0.5,0.2,0.7,2.3,4.7,"1978-1979"
"Austin Carr","SG",30,"CLE",82,0,33.1,6.7,14.2,0.475,0,0,0,6.7,14.2,0.475,0.475,3.6,4.4,0.816,1.9,1.6,3.5,2.6,0.9,0.2,2.1,2.6,17,"1978-1979"
"Kenny Carr","PF",23,"LAL",72,0,16,3.1,6.3,0.5,0,0,0,3.1,6.3,0.5,0.5,1.2,1.9,0.606,1,3.1,4.1,0.8,0.5,0.4,1.6,2.1,7.4,"1978-1979"
"M.L. Carr","SF",28,"DET",80,0,40.1,7.3,14.3,0.514,0,0,0,7.3,14.3,0.514,0.514,4,5.4,0.743,2.7,4.6,7.4,3.3,2.5,0.6,3.2,3.5,18.7,"1978-1979"
"Ron Carter","SG",22,"LAL",46,0,7.2,1.2,2.7,0.435,0,0,0,1.2,2.7,0.435,0.435,0.8,1.2,0.667,0.5,0.5,1,0.5,0.4,0.2,0.9,1.2,3.1,"1978-1979"
"Harvey Catchings","C",27,"TOT",57,0,16.6,1.8,4.3,0.42,0,0,0,1.8,4.3,0.42,0.42,1.1,1.4,0.769,1.8,3.5,5.3,0.8,0.4,1.6,1.5,2.3,4.6,"1978-1979"
"Harvey Catchings","C",27,"PHI",25,0,11.6,1.1,2.7,0.412,0,0,0,1.1,2.7,0.412,0.412,0.5,0.7,0.765,1.2,2.7,3.9,0.7,0.3,1.4,1.5,1.7,2.8,"1978-1979"
"Harvey Catchings","C",27,"NJN",32,0,20.6,2.3,5.5,0.423,0,0,0,2.3,5.5,0.423,0.423,1.5,1.9,0.77,2.2,4.2,6.4,0.9,0.5,1.8,1.6,2.8,6.1,"1978-1979"
"Don Chaney","SG",32,"BOS",65,0,16.5,2.7,6.4,0.42,0,0,0,2.7,6.4,0.42,0.42,0.6,0.6,0.857,1,1.2,2.2,1.2,1.1,0.2,1,2.6,5.9,"1978-1979"
"Maurice Cheeks","PG",22,"PHI",82,0,29.4,3.6,7,0.51,0,0,0,3.6,7,0.51,0.51,1.2,1.7,0.721,0.8,2.3,3.1,5.3,2.1,0.1,2.4,2.4,8.4,"1978-1979"
"Phil Chenier","SG",28,"WSB",27,0,14.3,2.6,5.9,0.437,0,0,0,2.6,5.9,0.437,0.437,0.7,1,0.643,0.1,0.6,0.7,1.1,0.1,0.2,1.1,1,5.8,"1978-1979"
"Jim Chones","C",29,"CLE",82,0,34.8,5.8,13.1,0.44,0,0,0,5.8,13.1,0.44,0.44,1.9,2.6,0.735,3.2,7.1,10.3,2.2,0.6,1.2,2.3,3.4,13.4,"1978-1979"
"Jim Cleamons","PG",29,"NYK",79,0,30.3,3.9,8.3,0.473,0,0,0,3.9,8.3,0.473,0.473,1.6,2.2,0.76,0.8,2,2.8,4.8,0.9,0.1,1.8,1.9,9.5,"1978-1979"
"E.C. Coleman","PF",28,"HOU",6,0,6.5,0.8,1.2,0.714,0,0,0,0.8,1.2,0.714,0.714,0.2,0.2,1,0.2,1,1.2,0.2,0.3,0,0,1.8,1.8,"1978-1979"
"Doug Collins","SG",27,"PHI",47,0,33.9,7.6,15.3,0.499,0,0,0,7.6,15.3,0.499,0.499,4.3,5.3,0.814,0.8,1.9,2.6,4.1,1.1,0.4,2.8,3,19.5,"1978-1979"
"Michael Cooper","SG",22,"LAL",3,0,2.3,1,2,0.5,0,0,0,1,2,0.5,0.5,0,0,0,0,0,0,0,0.3,0,0.3,0.3,2,"1978-1979"
"Wayne Cooper","C",22,"GSW",65,0,12.2,2,4.5,0.437,0,0,0,2,4.5,0.437,0.437,0.6,0.9,0.672,1.4,2.9,4.3,0.3,0.1,0.7,0.8,1.8,4.6,"1978-1979"
"Dave Corzine","C",22,"WSB",59,0,9,1.1,2,0.534,0,0,0,1.1,2,0.534,0.534,0.8,1.1,0.778,0.9,1.6,2.5,0.8,0.2,0.2,0.9,1.1,3,"1978-1979"
"Dave Cowens*","C",30,"BOS",68,0,37,7.2,14.9,0.483,0,0,0,7.2,14.9,0.483,0.483,2.2,2.8,0.807,2.2,7.4,9.6,3.6,1.1,0.8,2.6,3.9,16.6,"1978-1979"
"Wesley Cox","SF",24,"GSW",31,0,11.6,1.7,4,0.431,0,0,0,1.7,4,0.431,0.431,1.3,3,0.435,0.6,1.5,2,0.4,0.4,0.2,1.4,2.2,4.7,"1978-1979"
"Charlie Criss","PG",30,"ATL",54,0,16.3,2,5.4,0.377,0,0,0,2,5.4,0.377,0.377,1.2,1.6,0.779,0.4,0.8,1.1,2.6,0.8,0.1,1.5,1.3,5.3,"1978-1979"
"Geoff Crompton","C",23,"DEN",20,0,4.4,0.5,1.3,0.385,0,0,0,0.5,1.3,0.385,0.385,0.3,0.6,0.5,0.3,0.9,1.2,0.3,0,0.2,0.6,1,1.3,"1978-1979"
"Louie Dampier*","PG",34,"SAS",70,0,10.9,1.8,3.6,0.49,0,0,0,1.8,3.6,0.49,0.49,0.4,0.6,0.744,0.2,0.7,0.9,1.8,0.5,0.1,0.6,0.6,3.9,"1978-1979"
"Bob Dandridge","SF",31,"WSB",78,0,33.7,8.1,16.2,0.499,0,0,0,8.1,16.2,0.499,0.499,4.2,5.1,0.825,1.4,4.3,5.7,4.7,0.9,0.7,2.8,3.3,20.4,"1978-1979"
"Adrian Dantley*","SF",22,"LAL",60,0,29.6,6.2,12.2,0.51,0,0,0,6.2,12.2,0.51,0.51,4.9,5.7,0.854,2.2,3.5,5.7,2.3,1.1,0.2,2.6,2.7,17.3,"1978-1979"
"Brad Davis","PG",23,"TOT",27,0,11,1.1,2,0.564,0,0,0,1.1,2,0.564,0.564,0.6,0.9,0.696,0,0.6,0.6,1.9,0.6,0.1,0.6,1.2,2.9,"1978-1979"
"Brad Davis","PG",23,"LAL",5,0,13,1.6,2.2,0.727,0,0,0,1.6,2.2,0.727,0.727,0.6,0.8,0.75,0,0.2,0.2,1.8,0.4,0,1.2,2,3.8,"1978-1979"
"Brad Davis","PG",23,"IND",22,0,10.6,1,2,0.523,0,0,0,1,2,0.523,0.523,0.6,0.9,0.684,0,0.7,0.7,2,0.6,0.1,0.5,1,2.7,"1978-1979"
"Harry Davis","SF",23,"CLE",40,0,9.9,1.7,3.8,0.431,0,0,0,1.7,3.8,0.431,0.431,0.8,1.1,0.698,0.7,1,1.7,0.4,0.3,0.2,0.6,1.7,4.1,"1978-1979"
"Johnny Davis","PG",23,"IND",79,0,37.6,7.2,15.7,0.456,0,0,0,7.2,15.7,0.456,0.456,4,5,0.793,0.9,1.5,2.4,5.7,1.2,0.3,2.7,2.2,18.3,"1978-1979"
"Walter Davis","SF",24,"PHO",79,0,30.8,9.7,17.2,0.561,0,0,0,9.7,17.2,0.561,0.561,4.3,5.2,0.831,1.4,3.3,4.7,4.3,1.9,0.3,3.7,3.2,23.6,"1978-1979"
"Darryl Dawkins","C",22,"PHI",78,0,26.1,5.5,10.7,0.517,0,0,0,5.5,10.7,0.517,0.517,2,3,0.672,1.6,6.5,8.1,1.6,0.4,1.8,2.5,3.8,13.1,"1978-1979"
"Coby Dietrick","C",30,"SAS",76,0,19.6,2.8,5.3,0.523,0,0,0,2.8,5.3,0.523,0.523,1,1.3,0.798,1.2,3,4.1,2.6,0.9,0.5,1.2,2.7,6.5,"1978-1979"
"Jacky Dorsey","SF",24,"HOU",20,0,5.4,1.2,2.2,0.558,0,0,0,1.2,2.2,0.558,0.558,0.4,0.8,0.5,0.6,0.6,1.2,0.1,0.1,0.1,0.4,1.3,2.8,"1978-1979"
"Leon Douglas","C",24,"DET",78,0,28.4,4.4,8.9,0.49,0,0,0,4.4,8.9,0.49,0.49,2.7,4.2,0.634,3.2,5.3,8.5,0.9,0.5,0.7,2.4,4.1,11.4,"1978-1979"
"John Drew","SF",24,"ATL",79,0,30.5,8.2,17.4,0.473,0,0,0,8.2,17.4,0.473,0.473,6.3,8.6,0.731,2.8,3.8,6.6,1.5,1.6,0.2,2.7,4.2,22.7,"1978-1979"
"Charles Dudley","PG",28,"CHI",43,0,15.9,1,2.9,0.36,0,0,0,1,2.9,0.36,0.36,0.7,1,0.667,0.6,1.4,2,2.7,0.7,0,1.5,1.9,2.7,"1978-1979"
"Mike Dunleavy","SG",24,"HOU",74,0,20.1,2.9,5.7,0.506,0,0,0,2.9,5.7,0.506,0.506,2.1,2.5,0.864,0.4,1.4,1.7,4.4,0.8,0.1,1.8,2.3,8,"1978-1979"
"T.R. Dunn","SG",23,"POR",80,0,22.9,3.1,6.9,0.448,0,0,0,3.1,6.9,0.448,0.448,1.5,2,0.772,1.8,2.5,4.3,1.3,1.1,0.3,1.2,2.1,7.7,"1978-1979"
"James Edwards","C",23,"IND",82,0,31,6.5,13,0.501,0,0,0,6.5,13,0.501,0.501,3.6,5.4,0.676,2.2,6.3,8.5,1.1,0.7,1.3,2,4.4,16.7,"1978-1979"
"Bob Elliott","PF",23,"NJN",14,0,20.1,2.9,5.2,0.562,0,0,0,2.9,5.2,0.562,0.562,2.9,4,0.732,1.1,2.9,4,1.6,0.4,0.3,1.9,2.4,8.8,"1978-1979"
"Bo Ellis","PF",24,"DEN",42,0,6.4,1,2.2,0.457,0,0,0,1,2.2,0.457,0.457,0.7,0.9,0.806,0.4,1.1,1.5,0.2,0.2,0.3,0.5,1.1,2.7,"1978-1979"
"Len Elmore","C",26,"IND",80,0,15.8,1.7,4.3,0.406,0,0,0,1.7,4.3,0.406,0.406,0.7,1,0.718,1.4,3.6,5,0.9,0.8,1,0.9,2.3,4.2,"1978-1979"
"Alex English*","SF",25,"IND",81,0,33.3,7,13.6,0.511,0,0,0,7,13.6,0.511,0.511,2.1,2.8,0.752,3.1,5,8.1,3.3,0.9,1,2.4,2.6,16,"1978-1979"
"Ray Epps","SF",22,"GSW",13,0,5.5,0.8,1.8,0.435,0,0,0,0.8,1.8,0.435,0.435,0.5,0.6,0.75,0,0.4,0.4,0.2,0.1,0,0.2,0.5,2,"1978-1979"
"Julius Erving*","SF",28,"PHI",78,0,35.9,9.2,18.7,0.491,0,0,0,9.2,18.7,0.491,0.491,4.8,6.4,0.745,2.5,4.7,7.2,4.6,1.7,1.3,4,2.7,23.1,"1978-1979"
"Chris Ford","SG",30,"TOT",81,0,33.8,6.6,14.1,0.471,0,0,0,6.6,14.1,0.471,0.471,2.1,2.8,0.758,1.5,1.9,3.4,4.6,1.4,0.3,2.6,2.6,15.4,"1978-1979"
"Chris Ford","SG",30,"DET",3,0,36,4.3,11.7,0.371,0,0,0,4.3,11.7,0.371,0.371,2.3,2.7,0.875,3,3,6,1.7,0.3,0.3,3.3,3,11,"1978-1979"
"Chris Ford","SG",30,"BOS",78,0,33.7,6.7,14.2,0.474,0,0,0,6.7,14.2,0.474,0.474,2.1,2.8,0.753,1.5,1.8,3.3,4.7,1.5,0.3,2.6,2.6,15.6,"1978-1979"
"Don Ford","PF",26,"LAL",79,0,19.5,2.9,5.7,0.507,0,0,0,2.9,5.7,0.507,0.507,0.9,1.1,0.809,1.1,2.3,3.4,1.3,0.6,0.3,1.2,2.2,6.7,"1978-1979"
"Phil Ford","PG",22,"KCK",79,0,34.5,5.9,12.7,0.465,0,0,0,5.9,12.7,0.465,0.465,4.1,5.1,0.813,0.4,1.9,2.3,8.6,2.2,0.1,4.1,3.1,15.9,"1978-1979"
"Bayard Forrest","C",24,"PHO",75,0,16.6,1.6,3.6,0.434,0,0,0,1.6,3.6,0.434,0.434,0.8,1.5,0.539,1.5,2.7,4.2,2.2,0.4,0.5,1.4,2,4,"1978-1979"
"Walt Frazier*","PG",33,"CLE",12,0,23.3,4.5,10.2,0.443,0,0,0,4.5,10.2,0.443,0.443,1.8,2.3,0.778,0.6,1.1,1.7,2.7,1.1,0.2,1.8,1.8,10.8,"1978-1979"
"World B. Free","PG",25,"SDC",78,0,37.9,10.2,21.2,0.481,0,0,0,10.2,21.2,0.481,0.481,8.4,11.1,0.756,1.6,2.2,3.9,4.4,1.4,0.4,3.8,3.2,28.8,"1978-1979"
"Terry Furlow","SG",24,"TOT",78,0,21.6,5,10.3,0.483,0,0,0,5,10.3,0.483,0.483,2.1,2.5,0.836,1,1.2,2.1,2.4,0.7,0.4,1.7,1.6,12,"1978-1979"
"Terry Furlow","SG",24,"CLE",49,0,22.7,5.6,11.6,0.483,0,0,0,5.6,11.6,0.483,0.483,2.1,2.6,0.824,0.9,1.1,2,2.1,0.8,0.3,1.8,1.6,13.3,"1978-1979"
"Terry Furlow","SG",24,"ATL",29,0,19.9,3.9,8.1,0.481,0,0,0,3.9,8.1,0.481,0.481,2.1,2.4,0.857,1.1,1.3,2.4,2.8,0.6,0.4,1.6,1.4,9.9,"1978-1979"
"Mike Gale","SG",28,"SAS",82,0,25.9,3.5,7.5,0.464,0,0,0,3.5,7.5,0.464,0.464,1.1,1.3,0.843,0.5,1.8,2.3,4.6,1.9,0.5,1.9,2.3,8,"1978-1979"
"Gus Gerard","SF",25,"TOT",58,0,8,1.4,3.3,0.433,0,0,0,1.4,3.3,0.433,0.433,0.9,1.6,0.549,0.7,1,1.7,0.4,0.3,0.2,0.6,1.3,3.8,"1978-1979"
"Gus Gerard","SF",25,"DET",2,0,3,0.5,1.5,0.333,0,0,0,0.5,1.5,0.333,0.333,0.5,1,0.5,0.5,0,0.5,0,1,0,0,0,1.5,"1978-1979"
"Gus Gerard","SF",25,"KCK",56,0,8.2,1.5,3.4,0.435,0,0,0,1.5,3.4,0.435,0.435,0.9,1.6,0.551,0.7,1,1.7,0.4,0.3,0.2,0.6,1.3,3.8,"1978-1979"
"George Gervin*","SF",26,"SAS",80,0,36.1,11.8,21.9,0.541,0,0,0,11.8,21.9,0.541,0.541,5.9,7.1,0.826,1.8,3.2,5,2.7,1.7,1.1,3.6,3.4,29.6,"1978-1979"
"John Gianelli","C",28,"MIL",82,0,25.1,3.1,6.4,0.486,0,0,0,3.1,6.4,0.486,0.486,0.9,1.2,0.706,1.5,3.5,5,2,0.5,0.7,1.3,2.4,7.1,"1978-1979"
"Artis Gilmore*","C",29,"CHI",82,0,39.8,9.2,16,0.575,0,0,0,9.2,16,0.575,0.575,5.3,7.2,0.739,3.6,9.1,12.7,3.3,0.6,1.9,3.8,3.4,23.7,"1978-1979"
"Jack Givens","SF",22,"ATL",74,0,18.2,3.2,7.6,0.415,0,0,0,3.2,7.6,0.415,0.415,1.4,1.8,0.756,1.3,1.6,2.9,1.1,1,0.2,1,1.6,7.7,"1978-1979"
"Mike Glenn","SG",23,"NYK",75,0,15.6,3.5,6.5,0.541,0,0,0,3.5,6.5,0.541,0.541,0.8,0.8,0.905,0.4,0.7,1.1,1.8,0.5,0.1,0.9,1.5,7.8,"1978-1979"
"Glen Gondrezick","SF",23,"NYK",75,0,21.4,2.1,4.3,0.494,0,0,0,2.1,4.3,0.494,0.494,0.7,1.3,0.567,2,3.7,5.7,1.4,1.3,0.2,1.3,3,5,"1978-1979"
"Gail Goodrich*","SG",35,"NOJ",74,0,28.8,5.2,11.5,0.449,0,0,0,5.2,11.5,0.449,0.449,2.4,2.8,0.853,0.9,1.6,2.5,4.8,1.2,0.2,2.5,2.4,12.7,"1978-1979"
"Mike Green","C",27,"SAS",76,0,21.6,3.1,6.3,0.493,0,0,0,3.1,6.3,0.493,0.493,1.3,1.9,0.701,1.7,2.9,4.7,1.5,0.5,1.6,1.2,3,7.5,"1978-1979"
"Rickey Green","PG",24,"DET",27,0,16,2.5,6.6,0.379,0,0,0,2.5,6.6,0.379,0.379,1.7,2.5,0.672,0.6,0.9,1.5,2.3,0.9,0,1.6,1.4,6.6,"1978-1979"
"Steve Green","SF",25,"IND",39,0,6.8,1.1,2.3,0.472,0,0,0,1.1,2.3,0.472,0.472,0.5,0.9,0.588,0.6,0.8,1.3,0.5,0.3,0.1,0.4,1,2.7,"1978-1979"
