"Pick","Team","Player","College","Season"
"196","WSB","James Terry","Howard University",1982
"197","NJN","Gary Johnson","Oral Roberts University",1982
"198","GSW","Nick Morken","University of Tennessee",1982
"199","PHO","Ken Lyles","University of Washington",1982
"200","DEN","Dean Sears","University of California, Los Angeles",1982
"201","SAS","Harry O'Brien","St. Mary's University",1982
"202","MIL","Robert Tate","Idaho State University",1982
"203","LAL","Tim Byrne","Rutgers University",1982
"204","PHI","George Melton","Cheyney University of Pennsylvania",1982
"205","BOS","Panayoti Giannakis","",1982
"206","CLE","Durand Walker","Marion College",1982
"207","SDC","Daryl Stovall","Creighton University",1982
"208","UTA","Michael Edwards","University of New Orleans",1982
"209","DAL","Albert Culton","University of Texas at Arlington",1982
"210","KCK","Robert Estes","Iowa State University",1982
"211","NYK","John Leonard","Manhattan College",1982
"212","CHI","Tony Britto","Campbell University",1982
"213","IND","Craig Summers","University of Wisconsin-Stout",1982
"214","DET","David Coulthard","",1982
"215","POR","Grant Taylor","University of California, Irvine",1982
"216","ATL","Ronnie McAdoo","Old Dominion University",1982
"217","WSB","Donald Sinclair","North Carolina Central University",1982
"218","NJN","Sean Tuohy","University of Mississippi",1982
"219","GSW","Randy Whieldon","University of California, Irvine",1982
"220","DEN","Mike Phillips","Niagara University",1982
"221","PHO","Dale Wilkinson","Idaho State University",1982
"222","SAS","Keith White","McMurry University",1982
"223","MIL","Bob Coenen","University of Wisconsin-Eau Claire",1982
"224","PHI","Randy Burkert","Drexel University",1982
"225","BOS","Landon Turner","Indiana University",1982
"1","HOU","Ralph Sampson","University of Virginia",1983
"2","IND","Steve Stipanovich","University of Missouri",1983
"3","HOU","Rodney McCray","University of Louisville",1983
"4","SDC","Byron Scott","Arizona State University",1983
"5","CHI","Sidney Green","University of Nevada, Las Vegas",1983
"6","GSW","Russell Cross","Purdue University",1983
"7","UTA","Thurl Bailey","North Carolina State University",1983
"8","DET","Antoine Carr","Wichita State University",1983
"9","DAL","Dale Ellis","University of Tennessee",1983
"10","WSB","Jeff Malone","Mississippi State University",1983
"11","DAL","Derek Harper","University of Illinois at Urbana-Champaign",1983
"12","NYK","Darrell Walker","University of Arkansas",1983
"13","KCK","Ennis Whatley","University of Alabama",1983
"14","POR","Clyde Drexler","University of Houston",1983
"15","DEN","Howard Carter","Louisiana State University",1983
"16","SEA","Jon Sundvold","University of Missouri",1983
"17","PHI","Leo Rautins","Syracuse University",1983
"18","MIL","Randy Breuer","University of Minnesota",1983
"19","SAS","John Paxson","University of Notre Dame",1983
"20","CLE","Roy Hinson","Rutgers University",1983
"21","BOS","Greg Kite","Brigham Young University",1983
"22","WSB","Randy Wittman","Indiana University",1983
"23","IND","Mitchell Wiggins","Florida State University",1983
"24","CLE","Stewart Granger","Villanova University",1983
"25","CHI","Sidney Lowe","North Carolina State University",1983
"26","IND","Leroy Combs","Oklahoma State University",1983
"27","CLE","John Garris","Boston College",1983
"28","PHO","Rod Foster","University of California, Los Angeles",1983
"29","CHI","Larry Micheaux","University of Houston",1983
"30","DAL","Mark West","Old Dominion University",1983
"31","ATL","Doc Rivers","Marquette University",1983
"32","WSB","Michael Britt","University of the District of Columbia",1983
"33","DAL","Dirk Minniefield","University of Kentucky",1983
"34","WSB","Guy Williams","Washington State University",1983
"35","SAS","Darrell Lockhart","Auburn University",1983
"36","SEA","Scooter McCray","University of Louisville",1983
"37","DEN","David Russell","St. John's University",1983
"38","KCK","Chris McNealy","San Jose State University",1983
"39","POR","Granville Waiters","Ohio State University",1983
"40","IND","Jim Thomas","Indiana University",1983
"41","MIL","Ted Kitchel","Indiana University",1983
"42","MIL","Mike Davis","University of Alabama",1983
"43","GSW","Pace Mannion","University of Utah",1983
"44","NJN","Horace Owens","University of Rhode Island",1983
"45","PHO","Paul Williams","Arizona State University",1983
"46","SAS","Kevin Williams","St. John's University",1983
"47","PHI","Ken Lyons","University of North Texas",1983
"48","HOU","Craig Ehlo","Washington State University",1983
"49","IND","Greg Jones","West Virginia University",1983
"50","CLE","Paul Thompson","Tulane University",1983
"51","PHO","Derek Whittenburg","North Carolina State University",1983
"52","BOS","Winfred King","East Tennessee State University",1983
"53","GSW","Mike Holton","University of California, Los Angeles",1983
"54","UTA","Bob Hansen","University of Iowa",1983
"55","DET","Erich Santifer","Syracuse University",1983
"56","CLE","Larry Anderson","University of Nevada, Las Vegas",1983
"57","WSB","Darren Daye","University of California, Los Angeles",1983
"58","ATL","John Pinone","Villanova University",1983
"59","NJN","Bruce Kuczenski","University of Connecticut",1983
"60","KCK","Steve Harriel","Washington State University",1983
"61","DEN","David Little","University of Oklahoma",1983
"62","POR","Tom Piotrowski","La Salle University",1983
"63","SEA","Frank Burnell","Stetson University",1983
"64","PHI","Claude Riley","Texas A&M University",1983
"65","MIL","Billy Goodwin","St. John's University",1983
"66","CLE","Les Craft","Kansas State University",1983
"67","CLE","Derrick Hord","University of Kentucky",1983
"68","BOS","Craig Robinson","University of Virginia",1983
"69","LAL","Orlando Phillips","Pepperdine University",1983
"70","PHI","Dan Ruland","James Madison University",1983
"71","HOU","Darrell Browder","Texas Christian University",1983
"72","IND","Terry Fair","University of Georgia",1983
"73","CLE","Dwight Jones","University of Cincinnati",1983
"74","PHI","Kalpatrick Wells","Mississippi State University",1983
"75","CHI","Ron Crevier","Boston College",1983
"76","UTA","Doug Arnold","Texas Christian University",1983
"77","GSW","Peter Thibeaux","Saint Mary's College of California",1983
"78","DET","Steve Bouchie","Indiana University",1983
"79","DAL","Johnny Martin","Northwestern State University",1983
"80","WSB","Dan Gay","University of Louisiana at Lafayette",1983
"81","ATL","Harry Kelley","Texas Southern University",1983
"82","NYK","Mark Jones","St. Bonaventure University",1983
"83","DEN","York Gross","University of California, Santa Barbara",1983
"84","KCK","Mike Jackson","University of Wyoming",1983
"85","POR","Tim Dunham","Chaminade University of Honolulu",1983
"86","SEA","Pete DeBisschop","Fairfield University",1983
"87","NJN","Barney Mines","Bradley University",1983
"88","MIL","Mark Nickens","American University",1983
"89","PHO","Sam Mosley","University of Nevada, Reno",1983
"90","SAS","Brant Weidner","College of William & Mary",1983
"91","BOS","Carlos Clark","University of Mississippi",1983
"92","LAL","Terry Lewis","Mississippi State University",1983
"93","PHI","Craig Robinson","Princeton University",1983
"94","HOU","Chuck Barnett","University of Oklahoma",1983
"95","IND","Roger Stieg","University of Mississippi",1983
"96","CLE","Chris Logan","College of the Holy Cross",1983
"97","SDC","Manute Bol","",1983
"98","CHI","Tim Andree","University of Notre Dame",1983
"99","GSW","Greg Hines","Hampton University",1983
"100","UTA","Matt Clark","Oklahoma State University",1983
"101","DET","Ken Austin","Rice University",1983
"102","DAL","Jim Lampley","University of Arkansas at Little Rock",1983
"103","WSB","Robin Dixon","University of New Hampshire",1983
"104","ATL","Charles Jones","University of Oklahoma",1983
"105","NYK","Troy Lee Mikell","East Tennessee State University",1983
"106","KCK","Lorenza Andrews","Oklahoma State University",1983
"107","DEN","James Braddock","University of North Carolina",1983
"108","POR","Gary Monroe","Wright State University",1983
"109","SEA","Brad Watson","University of Washington",1983
"110","NJN","Tyren Naulls","Texas A&M University",1983
"111","MIL","Mark Petteway","University of New Orleans",1983
"112","SAS","Jeff Pehl","University of Richmond",1983
"113","PHO","Rick Lamb","Illinois State University",1983
"114","BOS","Bob Reitz","Stonehill College",1983
"115","LAL","Danny Dixon","Alabama A&M University",1983
"116","PHI","Mike Milligan","Tennessee State University",1983
"117","HOU","Jim Stack","Northwestern University",1983
"118","IND","Cliff Pruitt","University of Alabama at Birmingham",1983
"119","CLE","Mel McLaughlin","Central Michigan University",1983
"120","MIL","Russell Todd","West Virginia University",1983
"121","CHI","Ernest Patterson","New Mexico State University",1983
"122","UTA","Fred Gilliam","Clemson University",1983
"123","GSW","Tom Heywood","Weber State University",1983
"124","DET","Derek Perry","Michigan State University",1983
"125","DAL","Billy Allen","University of Nevada, Reno",1983
"126","WSB","Donald Carroll","Saint Augustine's College",1983
"127","ATL","Tom Bethea","University of Richmond",1983
"128","NYK","Tony Simms","Boston University",1983
"129","DEN","Glenn Green","Murray State University",1983
"130","KCK","Alvis Rogers","Wake Forest University",1983
"131","POR","Derrick Pope","University of Montana",1983
"132","SEA","Tony Wilson","Western Kentucky University",1983
"133","NJN","Oscar Taylor","University of New Orleans",1983
"134","MIL","Charles Hurt","University of Kentucky",1983
"135","PHO","Edward Bona","Fordham University",1983
"136","SAS","Ricky Hooker","St. Mary's University",1983
"137","BOS","Paul Atkins","Houston Baptist University",1983
"138","LAL","Mark Steele","Colorado State University",1983
"139","PHI","Sedale Threatt","West Virginia University Institute of Technology",1983
"140","HOU","Brian Kellerman","University of Idaho",1983
"141","IND","Tony Brown","Indiana University",1983
"142","CLE","John Columbo","John Carroll University",1983
"143","SDC","Dan Evans","Oregon State University",1983
"144","CHI","Jacque Hill","University of Southern California",1983
"145","GSW","Peter Williams","University of Utah",1983
"146","UTA","Joe Kazanowski","",1983
"147","DET","Rob Gonzalez","University of Colorado",1983
"148","DAL","Terrell Schlundt","Marquette University",1983
"149","WSB","Danny Womack","Winston-Salem State University",1983
"150","ATL","Lex Drum","University of Alabama at Birmingham",1983
"151","NYK","Desi Barimore","California State University, Fresno",1983
"152","KCK","Dane Suttle","Pepperdine University",1983
"153","DEN","Maurice McDaniel","Cawtaba College",1983
"154","POR","Paul Little","University of Pennsylvania",1983
"155","SEA","Tony Gattis","Mercer University",1983
"156","NJN","Keith Bennett","Sacred Heart University",1983
"157","MIL","Anthony Hicks","Xavier University",1983
"158","SAS","Keith Williams","Oklahoma Panhandle State University",1983
"159","PHO","Fred Brown","Virginia Commonwealth University",1983
"160","BOS","Ron Jackson","Providence College",1983
"161","LAL","Ricky Mixon","California State University, Fullerton",1983
"162","PHI","Tony Bruin","Syracuse University",1983
"163","HOU","Jeff Bolding","Arkansas State University",1983
"164","IND","Ray McCallum","Ball State University",1983
"165","CLE","Larry Tucker","Lewis University",1983
"166","SDC","Mark Gannon","University of Iowa",1983
"167","CHI","Terry Bradley","Chicago State University",1983
"168","UTA","Michael McCombs","College of Santa Fe",1983
"169","GSW","Doug Harris","Central Washington University",1983
"170","DET","George Wenzel","Augustana College (IL)",1983
"171","DAL","Bill Sadler","Pepperdine University",1983
"172","WSB","Bernard Perry","Howard University",1983
"173","ATL","George Thomas","Georgia Institute of Technology",1983
"174","NYK","Mike Lang","Pennsylvania State University",1983
"175","DEN","Cliff Tribus","Davidson College",1983
"176","KCK","Preston Neumayr","University of California, Davis",1983
"177","POR","Frank Smith","University of Arizona",1983
"178","SEA","Ray Smith","Armstrong Atlantic State University",1983
"179","NJN","Joe Myers","Duquesne University",1983
"180","MIL","Brett Burkholder","DePaul University",1983
"181","PHO","Mike Mulquin","Villanova University",1983
"182","SAS","Norville Brown","Oklahoma Christian University",1983
"183","BOS","Trent Johnson","University of Pittsburgh",1983
"184","PHI","Gordon Austin","American University",1983
"185","HOU","James Campbell","Oklahoma City University",1983
"186","IND","Lynn Mitchem","Butler University",1983
"187","CLE","Joe Brown","Georgia State University",1983
"188","SDC","David Maxwell","Fordham University",1983
"189","CHI","Ray Orange","Oklahoma Christian University",1983
"190","GSW","Greg Goorjiam","Loyola Marymount University",1983
"191","UTA","Ron Webb","Oklahoma Christian University",1983
"192","DET","Marlow McLain","Eastern Michigan University",1983
"193","DAL","Sherrod Arnold","Chicago State University",1983
"194","WSB","Ricky Moreland","University of Maryland, Baltimore County",1983
"195","ATL","Wil Kotchery","Rutgers University",1983
"196","NYK","Charles Jones","Marshall University",1983
"197","KCK","Bernard Hill","Oklahoma Panhandle State University",1983
"198","DEN","Bobby Van Noy","Cawtaba College",1983
"199","POR","Phil Hopson","University of Idaho",1983
"200","SEA","Tony Washington","Hampton University",1983
"201","NJN","Kevin Black","Rutgers University",1983
"202","MIL","Bill Varner","University of Notre Dame",1983
"203","SAS","Gary Gaspard","St. Mary's University",1983
"204","PHO","Joe Dykstra","Western Illinois University",1983
"205","BOS","John Rice","University of Massachusetts Boston",1983
"206","PHI","Charles Fisher","James Madison University",1983
"207","IND","Mark Smed","Augustana College (SD)",1983
"208","CLE","Jon Hanley","Xavier University",1983
"209","SDC","Keith Smith","San Diego State University",1983
"210","CHI","Tom Emma","Duke University",1983
"211","UTA","Odell Mosteller","Auburn University",1983
"212","GSW","Michael Zeno","California State University, Long Beach",1983
"213","DET","Ike Person","University of Michigan",1983
"214","DAL","Clyde Corley","Florida International University",1983
"215","WSB","Isiah Singletary","Saint Louis University",1983
"216","ATL","Ronnie Carr","Western Carolina University",1983
"217","NYK","Bernard Randolph","DePaul University",1983
"218","DEN","Cleveland McCrae","Cawtaba College",1983
"219","KCK","Aaron Haskins","Washington State University",1983
"220","POR","Russ Christianson","East Oregon University",1983
"221","SEA","David Binion","North Carolina Central University",1983
"222","NJN","Rich Simkus","Princeton University",1983
"223","MIL","Bob Kelly","St. John's University",1983
"224","PHO","Bo Overton","University of Oklahoma",1983
"225","SAS","Lamar Heard","University of Georgia",1983
"226","BOS","Andy Kupec","Bentley College",1983
"1","HOU","Hakeem Olajuwon","University of Houston",1984
"2","POR","Sam Bowie","University of Kentucky",1984
"3","CHI","Michael Jordan","University of North Carolina",1984
"4","DAL","Sam Perkins","University of North Carolina",1984
"5","PHI","Charles Barkley","Auburn University",1984
"6","WSB","Melvin Turpin","University of Kentucky",1984
"7","SAS","Alvin Robertson","University of Arkansas",1984
"8","LAC","Lancaster Gordon","University of Louisville",1984
"9","KCK","Otis Thorpe","Providence College",1984
"10","PHI","Leon Wood","California State University, Fullerton",1984
"11","ATL","Kevin Willis","Michigan State University",1984
"12","CLE","Tim McCormick","University of Michigan",1984
"13","PHO","Jay Humphries","University of Colorado",1984
"14","LAC","Michael Cage","San Diego State University",1984
"15","DAL","Terence Stansbury","Temple University",1984
"16","UTA","John Stockton","Gonzaga University",1984
"17","NJN","Jeff Turner","Vanderbilt University",1984
"18","IND","Vern Fleming","University of Georgia",1984
"19","POR","Bernard Thompson","California State University, Fresno",1984
"20","DET","Tony Campbell","Ohio State University",1984
"21","MIL","Kenny Fields","University of California, Los Angeles",1984
"22","PHI","Tom Sewell","Lamar University",1984
"23","LAL","Earl Jones","University of the District of Columbia",1984
"24","BOS","Michael Young","University of Houston",1984
"25","IND","Devin Durrant","Brigham Young University",1984
"26","POR","Victor Fleming","Xavier University",1984
"27","CLE","Ron Anderson","California State University, Fresno",1984
"28","SEA","Cory Blackwell","University of Wisconsin",1984
"29","IND","Stuart Gray","University of California, Los Angeles",1984
"30","GSW","Steve Burtt","Iona College",1984
"31","GSW","Jay Murphy","Boston College",1984
"32","DET","Eric Turner","University of Michigan",1984
"33","POR","Steve Colter","New Mexico State University",1984
"34","WSB","Tony Costner","Saint Joseph's University",1984
"35","GSW","Othell Wilson","University of Virginia",1984
"36","PHO","Charles Jones","University of Louisville",1984
"37","CHI","Ben Coleman","University of Maryland",1984
"38","DAL","Charlie Sitton","Oregon State University",1984
"39","SEA","Danny Young","Wake Forest University",1984
"40","DAL","Anthony Teachey","Wake Forest University",1984
"41","DAL","Tom Sluby","University of Notre Dame",1984
"42","DEN","Willie White","University of Tennessee at Chattanooga",1984
"43","CHI","Greg Wiltjer","Oregon State University",1984
"44","WSB","Fred Reynolds","University of Texas at El Paso",1984
"45","GSW","Gary Plummer","Boston University",1984
"46","POR","Jerome Kersey","Longwood University",1984
"47","BOS","Ronnie Williams","University of Florida",1984
"48","PHI","James Banks","University of Georgia",1984
"49","CHI","Tim Dillon","Northern Illinois University",1984
"50","CLE","Ben McDonald","University of California, Irvine",1984
"51","HOU","Jim Petersen","University of Minnesota",1984
"52","SEA","Terry Williams","University of Alabama",1984
"53","WSB","Ricky Ross","University of Tulsa",1984
"54","KCK","Roosevelt Chapman","University of Dayton",1984
"55","GSW","Lewis Jackson","Alabama State University",1984
"56","KCK","Jeff Allen","St. John's University",1984
"57","SAS","Joe Binion","North Carolina Agricultural and Technical State University",1984
"58","ATL","Bobby Parks","University of Memphis",1984
"59","PHO","Murray Jarman","Clemson University",1984
"60","CLE","Leonard Mitchell","Louisiana State University",1984
"61","DAL","Jeff Cross","University of Maine",1984
"62","UTA","David Pope","Norfolk State University",1984
"63","NJN","Yommy Sangodeyi","Sam Houston State University",1984
"64","NYK","Curtis Green","University of Southern Mississippi",1984
"65","POR","Tim Kearney","West Virginia University",1984
"66","DET","Kevin Springman","Saint Joseph's University",1984
"67","MIL","Vernon Delancy","University of Florida",1984
"68","PHI","Butch Graves","Yale University",1984
"69","LAL","George Singleton","Furman University",1984
"70","BOS","Rick Carlisle","University of Virginia",1984
"71","IND","Ralph Jackson","University of California, Los Angeles",1984
"72","CHI","Melvin Johnson","University of North Carolina at Charlotte",1984
"73","CLE","Art Aaron","Northwestern University",1984
"74","HOU","Willie Jackson","Centenary College of Louisiana",1984
"75","LAC","Marc Glass","University of Montana",1984
"76","WSB","Jim Grandholm","University of South Florida",1984
"77","CHI","Mark Halsel","Northeastern University",1984
"78","SAS","John Devereaux","Ohio University",1984
"79","DEN","Karl Tilleman","University of Calgary",1984
"80","KCK","Carl Henry","University of Kansas",1984
"81","ATL","Dickie Beal","University of Kentucky",1984
"82","PHO","Jeff Collins","University of Nevada, Las Vegas",1984
"83","SEA","Jeff Jenkins","Xavier University",1984
"84","DAL","John Horrocks","University of North Texas",1984
"85","NJN","Hank Cornley","Illinois State University",1984
"86","UTA","Jim Rowinski","Purdue University",1984
"87","NYK","Bob Thornton","University of California, Irvine",1984
"88","POR","Brett Applegate","Brigham Young University",1984
"89","DET","Phillip Smith","University of New Mexico",1984
"90","SAS","Ozell Jones","California State University, Fullerton",1984
"91","PHI","Earl Harrison","Morehead State University",1984
"92","LAL","John Revelli","Stanford University",1984
"93","BOS","Kevin Mullin","Princeton University",1984
"94","IND","Gene Smith","Georgetown University",1984
"95","CHI","Lamont Robinson","Lamar University",1984
"96","CLE","Vince Hinchen","Boise State University",1984
"97","HOU","Al McClain","University of New Hampshire",1984
"98","LAC","Alonza Allen","University of Louisiana at Lafayette",1984
"99","WSB","Cohn Irish","Bowling Green State University",1984
"100","SAS","Eric Richardson","University of Alabama",1984
"101","GSW","Steve Bartek","Doane College",1984
"102","KCK","Jim Foster","University of South Carolina",1984
"103","DEN","Prince Bridges","University of Missouri",1984
"104","ATL","Terry Martin","University of Louisiana at Monroe",1984
"105","PHO","Bill Flye","University of Richmond",1984
"106","SEA","Eli Pasquale","",1984
"107","DAL","Dave Williams","University of Illinois at Chicago",1984
"108","UTA","Marcus Gaither","Fairleigh Dickinson University",1984
"109","NJN","Michael Gerren","University of South Alabama",1984
"110","GSW","Scott McCollum","Pepperdine University",1984
"111","POR","Mike Whitmarsh","University of San Diego",1984
"112","DET","Rick Doyle","University of Texas at San Antonio",1984
"113","MIL","Ernie Floyd","College of the Holy Cross",1984
"114","PHI","Dan Federman","University of Tennessee",1984
"115","LAL","Lance Berwald","North Dakota State University",1984
"116","BOS","Todd Orlando","Bentley College",1984
"117","IND","Clyde Vaughn","University of Pittsburgh",1984
"118","CHI","Jeff Tipton","Morehead State University",1984
"119","CLE","Matt Doherty","University of North Carolina",1984
"120","MIL","McKinley Singleton","University of Alabama at Birmingham",1984
"121","LAC","Phillip Haynes","University of Memphis",1984
"122","WSB","Blaise Bugajeski","Illinois Wesleyan University",1984
"123","GSW","Tony Martin","University of Wyoming",1984
"124","SAS","Dion Brown","University of Louisiana at Lafayette",1984
"125","DEN","Willie Burton","University of Tennessee",1984
"126","KCK","Bruce Vanley","University of Tulsa",1984
"127","ATL","Jim Master","University of Kentucky",1984
"128","PHO","Herman Veal","University of Maryland",1984
"129","SEA","Graylin Warner","University of Louisiana at Lafayette",1984
"130","DAL","LaVerne Evans","Marshall University",1984
"131","NJN","Oscar Schmidt","",1984
"132","UTA","Chris Harrison","West Virginia Wesleyan College",1984
"133","NYK","Eddie Lee Wilkins","Gardner-Webb University",1984
"134","POR","Lance Ball","Western Oregon University",1984
"135","DET","Rennie Bailey","Louisiana Tech University",1984
"136","MIL","Mike Reddick","Stetson University",1984
"137","PHI","Gary Springer","Iona College",1984
"138","LAL","Keith Jones","Stanford University",1984
"139","BOS","Steve Carfino","University of Iowa",1984
"140","IND","Kenton Edelin","University of Virginia",1984
"141","CHI","Butch Hays","University of California",1984
"142","CLE","Joe Jakubick","University of Akron",1984
"143","HOU","Joedy Gardner","California State University, Long Beach",1984
"144","LAC","David Brantley","University of Oregon",1984
"145","WSB","Tim Garrett","University of New Mexico",1984
"146","SAS","Michael Pitts","University of California",1984
"147","GSW","Cliff Higgins","California State University, Northridge",1984
"148","KCK","Chip Harris","Robert Morris University (PA)",1984
"149","DEN","Mark Simpson","Cawtaba College",1984
"150","ATL","Vince Martello","Florida State University",1984
"151","PHO","Raymond Crenshaw","Oklahoma State University",1984
"152","SEA","Gary Gatewood","University of Oregon",1984
"153","DAL","George Turner","University of California, Irvine",1984
"154","UTA","Bob Evans","Southern Utah University",1984
"155","NJN","Sean Kerins","Syracuse University",1984
"156","NYK","Ken Bannister","Saint Augustine's College",1984
"157","POR","Victor Anger","Pepperdine University",1984
"158","DET","Barry Francisco","Bloomsburg University of Pennsylvania",1984
"159","MIL","Tony William","Florida State University",1984
"160","PHI","Rich Congo","Drexel University",1984
"161","LAL","Richard Haenisch","Chaminade University of Honolulu",1984
"162","BOS","Mark Van Valkenburg","Framingham State College",1984
"163","IND","Tom Heitz","University of Kentucky",1984
"164","CHI","Brett Crawford","Alliant International University",1984
"165","CLE","Elliot Beard","Oberlin College",1984
"166","HOU","Greg Wolff","Angelo State University",1984
"167","LAC","Jim McLoughlin","Temple University",1984
"168","WSB","Darryl Odom","West Virginia Wesleyan College",1984
"169","GSW","Paul Brozovich","University of Nevada, Las Vegas",1984
"170","SAS","Dan Tarkanian","University of Nevada, Las Vegas",1984
"171","DEN","Bill Wendlandt","University of Texas at Austin",1984
"172","KCK","Nate Rollins","Fort Hays State University",1984
"173","ATL","Robert Brown","Long Island University",1984
"174","PHO","Mark Fothergill","University of Maryland",1984
"175","SEA","Jerry McMillan","DePaul University",1984
"176","DAL","Leroy Sutton","University of Arkansas",1984
"177","NJN","Chris Winans","University of Utah",1984
"178","UTA","Eric Booker","University of Nevada, Las Vegas",1984
"179","NYK","Ricky Tunstall","Youngstown State University",1984
"180","POR","Steve Flint","University of California, San Diego",1984
"181","DET","Dale Roberts","Appalachian State University",1984
"182","MIL","Brad Jergenson","University of South Carolina",1984
"183","PHI","Frank Dobbs","Villanova University",1984
"184","BOS","Champ Godboldt","College of the Holy Cross",1984
"185","IND","Brian Martin","University of Kansas",1984
"186","CHI","Calvin Pierce","University of Oklahoma",1984
"187","CLE","John Shimko","Xavier University",1984
"188","HOU","Bill Coon","Presbyterian College",1984
"189","LAC","Dave Schultz","Westmont College",1984
"190","WSB","Mike Emanuel","University of North Carolina at Pembroke",1984
"191","SAS","Melvin Roseboro","St. Mary's University",1984
"192","GSW","Mitch Arnold","California State University, Fresno",1984
"193","KCK","Greg Turner","Auburn University",1984
"194","DEN","Cecil Exum","University of North Carolina",1984
"195","ATL","Fred Brown","Georgetown University",1984
"196","PHO","Buddy Cox","Bellarmine University",1984
"197","SEA","Mike Williams","Idaho State University",1984
"198","DAL","John Tudor","Louisiana State University",1984
"199","UTA","Kelly Knight","University of Kansas",1984
"200","NJN","Billy Ryan","Princeton University",1984
"201","NYK","Marc Marotta","Marquette University",1984
"202","POR","Dennis Black","University of Portland",1984
"203","DET","Ben Tower","Michigan State University",1984
"204","MIL","Edwin Green","University of Massachusetts Amherst",1984
"205","PHI","Michael Mitchell","Drexel University",1984
"206","BOS","Joe Dickson","Merrimack College",1984
"207","IND","Gary Carver","Western Kentucky University",1984
"208","CHI","Carl Lewis","University of Houston",1984
"209","CLE","Darrell Space","Northeastern Illinois University",1984
"210","HOU","Robert Turner","Canisius College",1984
"211","LAC","Dick Mumma","Pennsylvania State University",1984
"212","WSB","Glynn Myrick","Stetson University",1984
"213","GSW","Tim Bell","University of California, Riverside",1984
"214","SAS","Frank Rodriguez","New Mexico State University",1984
"215","DEN","Dexter Bailey","Xavier University",1984
"216","KCK","Victor Coleman","Northwest Missouri State University",1984
"217","ATL","Doug Mills","Hofstra University",1984
"218","PHO","Ezra Hill","Liberty University",1984
"219","SEA","Greg Brandon","Creighton University",1984
"220","DAL","Napoleon Johnson","Grambling State University",1984
"221","NJN","Phil Jamison","Saint Peter's College",1984
"222","UTA","Mike Curran","Niagara University",1984
"223","NYK","Mike Henderson","Long Island University, C.W. Post Campus",1984
"224","POR","Randy Dunn","George Fox University",1984
"225","DET","Dan Pelekoudas","University of Michigan",1984
"226","MIL","Mike Toomer","Florida Agricultural and Mechanical University",1984
"227","PHI","Martin Clark","Boston College",1984
"228","BOS","Dan Trant","Clark University",1984
"1","NYK","Patrick Ewing","Georgetown University",1985
"2","IND","Wayman Tisdale","University of Oklahoma",1985
"3","LAC","Benoit Benjamin","Creighton University",1985
"4","SEA","Xavier McDaniel","Wichita State University",1985
"5","ATL","Jon Koncak","Southern Methodist University",1985
"6","SAC","Joe Kleine","University of Arkansas",1985
"7","GSW","Chris Mullin","St. John's University",1985
"8","DAL","Detlef Schrempf","University of Washington",1985
"9","CLE","Charles Oakley","Virginia Union University",1985
"10","PHO","Ed Pinckney","Villanova University",1985
"11","CHI","Keith Lee","University of Memphis",1985
"12","WSB","Kenny Green","Wake Forest University",1985
"13","UTA","Karl Malone","Louisiana Tech University",1985
"14","SAS","Alfredrick Hughes","Loyola University of Chicago",1985
"15","DEN","Blair Rasmussen","University of Oregon",1985
"16","DAL","Bill Wennington","St. John's University",1985
"17","DAL","Uwe Blab","Indiana University",1985
"18","DET","Joe Dumars","McNeese State University",1985
"19","HOU","Steve Harris","University of Tulsa",1985
"20","BOS","Sam Vincent","Michigan State University",1985
"21","PHI","Terry Catledge","University of South Alabama",1985
"22","MIL","Jerry Reynolds","Louisiana State University",1985
"23","LAL","A.C. Green","Oregon State University",1985
"24","POR","Terry Porter","University of Wisconsin-Stevens Point",1985
"25","POR","Mike Smrek","Canisius College",1985
"26","IND","Bill Martin","Georgetown University",1985
"27","IND","Dwayne McClain","Villanova University",1985
"28","CHI","Ken Johnson","Michigan State University",1985
"29","SAS","Mike Brittain","University of South Carolina",1985
"30","CLE","Calvin Duncan","Virginia Commonwealth University",1985
"31","WSB","Manute Bol","University of Bridgeport",1985
"32","PHO","Nick Vanos","Santa Clara University",1985
"33","PHI","Greg Stokes","University of Iowa",1985
"34","CHI","Aubrey Sherrod","Wichita State University",1985
"35","SAS","Tyrone Corbin","DePaul University",1985
"36","NJN","Yvon Joseph","Georgia Institute of Technology",1985
"37","UTA","Carey Scurry","Long Island University",1985
"38","NJN","Fernando Martin","",1985
"39","POR","George Montgomery","University of Illinois at Urbana-Champaign",1985
"40","DAL","Mark Acres","Oral Roberts University",1985
"41","ATL","Lorenzo Charles","North Carolina State University",1985
"42","GSW","Bobby Lee Hurt","University of Alabama",1985
"43","DEN","Barry Stevens","Iowa State University",1985
"44","PHI","Voise Winters","Bradley University",1985
"45","CLE","Hot Rod Williams","Tulane University",1985
"46","CHI","Adrian Branch","University of Maryland",1985
"47","NYK","Gerald Wilkins","University of Tennessee at Chattanooga",1985
"48","IND","Kenny Patterson","DePaul University",1985
"49","GSW","Brad Wright","University of California, Los Angeles",1985
"50","DAL","Leonard Allen","San Diego State University",1985
"51","SAC","Charles Bradley","University of South Florida",1985
"52","LAC","Anicet Lavodrama","Houston Baptist University",1985
"53","SEA","Rolando Lamb","Virginia Commonwealth University",1985
"54","HOU","Sam Mitchell","Mercer University",1985
"55","CLE","Herb Johnson","University of Tulsa",1985
"56","PHO","Jerry Everett","Lamar University",1985
"57","HOU","Michael Payne","University of Iowa",1985
